title,raw_text,url,source_name,source_type,language,domain_tags
"Tracking AI infra is painful","I spend hours every week tracking AI infrastructure companies across blogs, GitHub, filings and newsletters. Paid databases miss many technical updates.","https://example.com/1","manual_import","manual","en","ai_investment_research"
"Chinese content research pain","内容团队每周做选题很难，信息太分散，还要手动核对来源，整个流程非常耗时。","https://example.com/2","manual_import","manual","zh","content_production"
"Normal product announcement","We launched a new landing page and updated the product screenshots today.","https://example.com/3","manual_import","manual","en","content_production"
"AI agent workflow breaks","Our AI agent workflow is broken when tasks require multi-step browser actions, so operators still do manual checks every day.","https://example.com/4","manual_import","manual","en","ai_agent_workflow"
"Developer API issue","Developer API docs are incomplete and slow, and the GitHub issue examples are hard to map to real code.","https://example.com/5","manual_import","manual","en","ai_agent_workflow"
"Investment memo research","As an investment analyst, collecting evidence for AI startup memos is frustrating because signals are scattered across newsletters and product pages.","https://example.com/6","manual_import","manual","en","ai_investment_research"
"Missing title boundary","This row is valid but checks a generic manual workflow problem that is slow and expensive.","https://example.com/7","manual_import","manual","en","enterprise_knowledge_workflow"
"Founder CRM pain","A startup CEO said lead tracking in the CRM is slow and manual, which makes BD follow-up easy to miss.","https://example.com/8","manual_import","manual","en","enterprise_knowledge_workflow"
"No clear pain","This article explains market background and lists several companies without describing a user need.","https://example.com/9","manual_import","manual","en","ai_hardtech"
"Chinese developer pain","开发者反馈这个 API 不好用，接口文档不完整，调试流程太慢。","https://example.com/10","manual_import","manual","zh","ai_agent_workflow"
